200	1	One 200 field must be present in a UNIMARC record. ####Specifies the Primary Title.  In UNIMARC, a record must have a 200 field.
801	1	One 801 field must be present in a UNIMARC record. ####Specifies the Originating Source.  In UNIMARC, a record must have a 801 field.

001	NR	RECORD IDENTIFIER
100	NR	GENERAL PROCESSING DATA
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	General Processing Data

101	NR	LANGUAGE OF THE RESOURCE
ind1	0128	Translation identifier
ind2	blank	Undefined
subfield	9abcdefghij	Valid subfields
9	NR	Local Subfield
a	R	Language of Text, Soundtrack etc.
b	NR	Language of Intermediate Text when Item is Not Translated from Original
c	R	Language of Original Work
d	NR	Language of Summary
e	R	Language of Contents Page
f	R	Language of Title Page if Different from Text
g	NR	Language of Title Proper if Not First Language of Text, Soundtrack, etc.
h	R	Language of Libretto, etc.
i	NR	Language of Accompanying Material (Other than Summaries, Abstracts or Librettos)
j	R	Language of Subtitles

102	NR	COUNTRY OF PUBLICATION OR PRODUCTION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	29abc	Valid subfields
2	R	Source of non-ISO code
9	NR	Local Subfield
a	R	Country of publication
b	R	Locality ( non-ISO)
c	R	Locality (ISO)

105	NR	CODED DATA FIELD: TEXTUAL LANGUAGE MATERIAL, MONOGRAPHIC
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Monograph Coded Data

106	NR	CODED DATA FIELD: TEXTUAL RESOURCE – FORM
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Form of Item: Coded Data:Medium Designator

110	NR	CODED DATA FIELD:  CONTINUING RESOURCES
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Continuing Resource Coded Data

115	R	CODED DATA FIELD: VISUAL PROJECTIONS, VIDEO RECORDINGS AND MOTION PICTURES
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9ab	Valid subfields
9	NR	Local Subfield
a	NR	 Coded Data
b	NR	Motion Picture Coded Data Archival

116	R	CODED DATA FIELD: GRAPHICS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Coded Data for Graphics

117	R	CODED DATA FIELD: THREE-DIMENSIONAL ARTEFACTS AND REALIA
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Coded Data for Three-Dimensional Artefacts and Realia

120	NR	CODED DATA FIELD: CARTOGRAPHIC MATERIALS – GENERAL
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Cartographic Material Coded Data (General)

121	NR	CODED DATA FIELD: CARTOGRAPHIC MATERIALS - PHYSICAL ATTRIBUTES
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9ab	Valid subfields
9	NR	Local Subfield
a	NR	Cartographic Material Coded Data: Physical attributes (General)
b	NR	Aerial Photography and Remote Sensing Coded Data: Physical Attributes

122	R	CODED DATA FIELD: TIME PERIOD OF RESOURCE CONTENT
ind1	012	Number of Dates Indicator
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	R	Time period, 9999 B.C. to present

123	R	CODED DATA FIELD: CARTOGRAPHIC RESOURCES - SCALE AND CO-ORDINATES
ind1	01234	Type of Scale Code Indicator
ind2	blank	Undefined
subfield	9abcdefghijkmnop	Valid subfields
9	NR	Local Subfield
a	NR	Type of Scale
b	R	Constant Ratio Linear Horizontal Scale
c	R	Constant Ratio Linear Vertical Scale
d	NR	Co-ordinates – Westernmost Longitude
e	NR	Co-ordinates – Easternmost Longitude
f	NR	Co-ordinates – Northernmost Latitude
g	NR	Co-ordinates – Southernmost Latitude
h	R	Angular Scale
i	NR	Declination – Northern Limit
j	NR	Declination – Southern Limit
k	NR	Right ascension – Eastern Limits
m	NR	Right ascension – Western Limits
n	NR	Equinox
o	NR	Epoch
p	NR	Planet to which the field applies

124	NR	CODED DATA FIELD: CARTOGRAPHIC MATERIALS - SPECIFIC MATERIAL DESIGNATION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abcdefg	Valid subfields
9	NR	Local Subfield
a	NR	Character of Image
b	R	Form of Cartographic Item
c	R	Presentation Technique for Photographic or Non-Photographic Image
d	R	Position of Platform for Photographic or Remote Sensing Image
e	R	Category of Satellite for Remote Sensing Image
f	R	Name of Satellite for Remote Sensing Image
g	R	Recording Technique for Remote Sensing Image

125	NR	CODED DATA FIELD: SOUND RECORDINGS AND MUSIC
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abc	Valid subfields
9	NR	Local Subfield
a	NR	Format of Notated Music
b	NR	Literary Text Indicator (Non-Music Performance)
c	NR	Multiple Musical Formats

126	NR	CODED DATA FIELD: SOUND RECORDINGS - PHYSICAL ATTRIBUTES
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9ab	Valid subfields
9	NR	Local Subfield
a	NR	Sound Recording Coded Data (General)
b	NR	Sound Recording Coded Data (Detail)

127	NR	CODED DATA FIELD: DURATION OF SOUND RECORDINGS AND NOTATED MUSIC
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	R	Duration

128	R	CODED DATA FIELD: FORM OF MUSICAL WORK AND KEY OR MODE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abcd	Valid subfields
9	NR	Local Subfield
a	R	Form of Musical Work
b	R	Instruments or Voices for Ensemble
c	R	Instruments or Voices for Soloists
d	NR	Key or Mode of Musical Work

130	R	CODED DATA FIELD: MICROFORMS – PHYSICAL ATTRIBUTES
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	R	Microform Coded Data – Physical Attributes

131	NR	CODED DATA FIELD: CARTOGRAPHIC MATERIALS - GEODETIC, GRID AND VERTICAL MEASUREMENT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abcdefghijkl	Valid subfields
9	NR	Local Subfield
a	R	Spheroid
b	R	Horizontal Datum
c	R	Grid and Referencing System
d	R	Overlapping and Referencing System
e	R	Secondary Grid and Referencing System
f	R	Vertical Datum
g	R	Unit of Measurement of Heighting
h	R	Contour Interval
i	NR	Supplementary Contour Interval
j	R	Unit of Measurement of Bathymetry
k	NR	Bathymetric Interval
l	NR	Supplementary Bathymetric Interval

135	R	CODED DATA FIELD: ELECTRONIC RESOURCES
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Coded Data for Electronic Resources

140	NR	CODED DATA FIELD: ANTIQUARIAN – GENERAL
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Antiquarian Coded Data – General

141	R	CODED DATA FIELD - COPY SPECIFIC ATTRIBUTES
ind1	blank	Undefined
ind2	blank	Undefined
subfield	59abcdef	Valid subfields
5	NR	Institution and Copy to which the Field Applies
9	NR	Local Subfield
a	NR	Coded data – Copy specific attributes
b	NR	Binding specific characteristics
c	NR	Age
d	NR	Binding State of Preservation Code – specific
e	NR	Body of the Book specific characteristics
f	NR	Body of the Book State of Preservation Code – specific

146	NR	CODED DATA FIELD: MEDIUM OF PERFORMANCE
ind1	01	Original or Arrangement Indicator
ind2	1	Alternative Medium of Performance Indicator
subfield	9abcdefhi	Valid subfields
9	NR	Local Subfield
a	NR	Type of Performance Medium
b	R	 Instrument or Voice Soloist
c	R	Instrument or Voice Non-soloist, Conductor, Other Performer or Device, Not Included in an Ensemble Recorded in Subfield $d
d	R	 Vocal or Instrumental Ensemble
e	R	Instrument or Voice Non-soloist, Conductor, Other Performer or Device, Included in an Ensemble Recorded in Preceding Subfield $d
f	R	Specific Instrument Related to the Generic one Recorded in Preceding Subfield $c or $e
h	R	 Number of Parts
i	R	Number of Players

181	NR	CODED DATA FIELD: CONTENT FORM
ind1	blank	Undefined
ind2	12	ISBD display indicator
subfield	269abc	Valid subfields
2	NR	System code
6	R	Interfield Linking Data
9	NR	Local Subfield
a	NR	ISBD Content form Code
b	R	ISBD Content Qualification Code
c	R	Other Coding for Content Form

182	NR	CODED DATA FIELD: MEDIA TYPE
ind1	blank	Undefined
ind2	12	ISBD display indicator
subfield	269ac	Valid subfields
2	NR	System code
6	R	Interfield Linking Data
9	NR	Local Subfield
a	NR	ISBD Media Type Code
c	R	Other Coding for Media Type

183	NR	CODED DATA FIELD: TYPE OF CARRIER
ind1	blank	Undefined
ind2	12	Display Indicator
subfield	2689a	Valid subfields
2	NR	System code
6	R	Interfield Linking Data
8	R	Materials specified
9	NR	Local Subfield
a	R	Type of Carrier Code

200	NR	TITLE AND STATEMENT OF RESPONSIBILITY
ind1	01	Title Significance Indicator
ind2	blank	Undefined
subfield	259abcdefghijkrvz	Valid subfields
2	NR	Source
5	NR	Institution to Which Field Applies
9	NR	Local Subfield
a	R	Title Proper
b	R	General Material Designation
c	R	Title Proper by Another Author
d	R	Parallel Title Proper
e	R	Other Title Information
f	R	First Statement of Responsibility
g	R	Subsequent Statement of Responsibility
h	R	Number of a Part
i	R	Name of a Part
j	NR	Inclusive dates
k	NR	Bulk dates
r	NR	Title page information following the title proper (for older monographic publications)
v	NR	Volume Designation
z	R	Language of Parallel Title Proper

203	NR	CODED DATA FIELD: CONTENT FORM
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abc	Valid subfields
9	NR	Local Subfield
a	R	Content form
b	R	Content qualification
c	NR	Media type

205	R	EDITION STATEMENT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abdfg	Valid subfields
9	NR	Local Subfield
a	NR	Edition Statement
b	R	Issue Statement
d	R	Parallel Edition Statement
f	R	Statement of Responsibility Relating to Edition
g	R	Subsequent Statement of Responsibility

206	NR	MATERIAL SPECIFIC AREA: CARTOGRAPHIC RESOURCES - MATHEMATICAL DATA
ind1	0	Formatting Indicator
ind2	blank	Undefined
subfield	9abcdef	Valid subfields
9	NR	Local Subfield
a	NR	Mathematical Data Statement
b	R	Statement of scale
c	NR	Statement of projection
d	NR	Statement of coordinates
e	NR	Right ascension and declination
f	NR	Statement of equinox

207	NR	MATERIAL SPECIFIC AREA: NUMBERING OF CONTINUING RESOURCES
ind1	blank	Undefined
ind2	012	Formatted Numbering Indicator
subfield	9az	Valid subfields
9	NR	Local Subfield
a	R	Numbering: Dates and Volume Designations
z	R	Source of Numbering Information

208	NR	MATERIAL SPECIFIC AREA: PRINTED MUSIC SPECIFIC STATEMENT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9ad	Valid subfields
9	NR	Local Subfield
a	NR	Printed Music Specific Statement
d	R	Parallel Printed Music Specific Statement(s)

210	R	PUBLICATION, DISTRIBUTION, ETC.
ind1	01	Sequence of publication data
ind2	1	Intervening publisher
subfield	9abcdefghrs	Valid subfields
9	NR	Local Subfield
a	R	Place of Publication, Distribution, etc.
b	R	Address of Publisher, Distributor, etc.
c	R	Name of Publisher, Distributor, etc.
d	R	Date of Publication, Distribution, etc.
e	R	Place of Manufacture
f	R	Address of Manufacturer
g	R	Name of Manufacturer
h	R	Date of Manufacture
r	NR	Printing and/or publishing information transcribed as found in the main source of information
s	NR	Printing and/or publishing information transcribed as found in the colophon

211	NR	PROJECTED PUBLICATION DATE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Date

215	R	PHYSICAL DESCRIPTION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abcde	Valid subfields
9	NR	Local Subfield
a	R	Specific Material Designation and Extent of Item
b	NR	Materials and Technique display
c	NR	Other Physical Details
d	R	Dimensions
e	R	Accompanying Material

225	R	SERIES
ind1	012	Form of Title Indicator
ind2	blank	Undefined
subfield	29adefhivxz	Valid subfields
2	NR	Source
9	NR	Local Subfield
a	NR	Series Title
d	R	Parallel Series Title
e	R	Other Title Information
f	R	Statement of Responsibility
h	R	Number of a Part
i	R	Name of a Part
v	R	Volume Designation
x	R	ISSN of Series
z	R	Language of Parallel Title

230	R	MATERIAL SPECIFIC AREA: ELECTRONIC RESOURCE CHARACTERISTICS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Designation and extent of file

231	NR	DIGITAL FILE CHARACTERISTICS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	269abcdefgh	Valid subfields
2	NR	Source
6	R	Interfield linking data
9	NR	Local Subfield
a	R	File type
b	R	Encoding standard
c	R	Version of encoding standard
d	R	Details of encoding standard
e	R	File size
f	R	Resolution
g	R	Regional encoding
h	R	Encoded bitrate

251	NR	ORGANIZATION AND ARRANGEMENT OF MATERIALS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abc	Valid subfields
9	NR	Local Subfield
a	R	Organization
b	R	Arrangement
c	NR	Level

283	NR	CARRIER TYPE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	269a	Valid subfields
2	NR	System code  Source
6	R	Interfield Linking Data
9	NR	Local Subfield
a	R	Carrier Type Designation

300	R	GENERAL NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

301	R	NOTES PERTAINING TO IDENTIFICATION NUMBERS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

302	R	NOTES PERTAINING TO CODED INFORMATION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

303	R	GENERAL NOTES PERTAINING TO DESCRIPTIVE INFORMATION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

304	R	NOTES PERTAINING TO TITLE AND STATEMENT OF RESPONSIBILITY
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

305	R	NOTES PERTAINING TO EDITION AND BIBLIOGRAPHIC HISTORY
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

306	R	NOTES PERTAINING TO PUBLICATION, DISTRIBUTION, ETC.
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

307	R	NOTES PERTAINING TO PHYSICAL DESCRIPTION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

308	R	NOTES PERTAINING TO SERIES
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

310	R	NOTES PERTAINING TO BINDING AND AVAILABILITY
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

311	R	NOTES PERTAINING TO LINKING FIELDS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

312	R	NOTES PERTAINING TO RELATED TITLES
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

313	R	NOTES PERTAINING TO SUBJECT ACCESS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

314	R	NOTES PERTAINING TO INTELLECTUAL RESPONSIBILITY
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

315	R	NOTES PERTAINING TO MATERIAL (OR TYPE OF PUBLICATION) SPECIFIC INFORMATION
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

316	R	NOTE RELATING TO THE COPY IN HAND
ind1	blank	Undefined
ind2	blank	Undefined
subfield	569au	Valid subfields
5	NR	Institution to which the Field Applies
6	R	Interfield Linking Data
9	NR	Local Subfield
a	R	Text of Note
u	R	Uniform Resource Identifier (URI)

317	R	PROVENANCE NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	5689au	Valid subfields
5	NR	Institution and copy to which the field applies
6	R	Interfield Linking Data
8	NR	Materials specified
9	NR	Local Subfield
a	NR	Text of Note
u	R	Uniform Resource Identifier (URI)

318	R	ACTION NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	59abcdefhijklnopru	Valid subfields
5	NR	Institution and copy to which the Field Applies
9	NR	Local Subfield
a	NR	Action
b	R	Action Identification
c	R	Time of Action
d	R	Action Interval
e	R	Contingency for Action
f	R	Authorisation
h	R	Jurisdiction
i	R	Method of Action
j	R	Site of Action
k	R	Action Agent
l	R	Status
n	R	Extent
o	R	Type of Unit
p	R	Non-public Note
r	R	Public Note
u	R	Uniform Resource Identifier (URI)

320	R	INTERNAL BIBLIOGRAPHIES/INDEXES NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9au	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note
u	R	Uniform Resource Identifier (URI)

321	R	EXTERNAL INDEXES/ABSTRACTS/REFERENCES NOTE
ind1	01	Type of Coverage
ind2	blank	Undefined
subfield	569abcux	Valid subfields
5	NR	Institution to which Field Applies
6	NR	Interfield Linking Data
9	NR	Local Subfield
a	NR	Name of source
b	NR	Dates of coverage
c	NR	Location within source
u	NR	Uniform Resource Identifier (URI)
x	NR	International Standard Number

322	NR	CREDITS NOTE (PROJECTED AND VIDEO MATERIAL AND SOUND RECORDINGS)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

323	R	CAST NOTE (PROJECTED AND VIDEO MATERIAL AND SOUND RECORDINGS)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

324	NR	ORIGINAL VERSION NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

325	R	REPRODUCTION NOTE
ind1	1	Undefined
ind2	blank	Undefined
subfield	9abcdefghijnuvxyz	Valid subfields
9	NR	Local Subfield
a	NR	Text of Unstructured Note
b	NR	Type of reproduction
c	R	Place of reproduction
d	R	Agency Responsible for the Reproduction
e	NR	Date of publication for the reproduction
f	NR	Physical description of the reproduction
g	NR	Series statement for the reproduction
h	NR	Completeness of the reproduction code
i	NR	Coverage of the reproduction
j	R	Terms of access to the reproduction
n	R	Note About Reproduction
u	NR	URL of the reproduction
v	NR	Date of consultation
x	R	ISSN of the reproduction
y	R	ISBN of the reproduction
z	NR	Date when the URL in $u was found to be invalid

326	R	FREQUENCY STATEMENT NOTE (CONTINUING RESOURCES)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9ab	Valid subfields
9	NR	Local Subfield
a	NR	Frequency
b	NR	Dates of Frequency

327	R	CONTENTS NOTE
ind1	01	Completeness indicator
ind2	1	Structure indicator
subfield	9abcdefghipuz	Valid subfields
9	NR	Local Subfield
a	R	Text of Note
b	R	Title of level 1 subdivision
c	R	Title of level 2 subdivision
d	R	Title of level 3 subdivision
e	R	Title of level 4 subdivision
f	R	Title of level 5 subdivision
g	R	Title of level 6 subdivision
h	R	Title of level 7 subdivision
i	R	Title of level 8 subdivision
p	R	Sequence of pages or first pages of a subdivision
u	R	Uniform Resource Identifier (URI)
z	R	Other information concerning a subdivision

328	R	DISSERTATION (THESIS) NOTE
ind1	blank	Undefined
ind2	01	Structure indicator
subfield	9abcdetz	Valid subfields
9	NR	Local Subfield
a	NR	Text of note
b	NR	Dissertation or thesis details and type of degree
c	NR	Discipline of degree
d	NR	Date of degree
e	NR	Body granting the degree
t	NR	Title of other edition of dissertation or thesis
z	R	Text preceding or following the note

330	R	SUMMARY OR ABSTRACT
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

332	R	PREFERRED CITATION OF DESCRIBED MATERIALS
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

333	R	USERS/INTENDED AUDIENCE NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

334	R	AWARDS NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abcdu	Valid subfields
9	NR	Local Subfield
a	NR	Text of awards note
b	NR	Name of award
c	NR	Year of award
d	NR	Country of award
u	R	Uniform Resource Identifier (URI)

335	NR	LOCATION OF ORIGINALS/REPRODUCTIONS
ind1	01	Role of holding institution
ind2	blank	Undefined
subfield	89abcgu	Valid subfields
8	R	Materials specified
9	NR	Local Subfield
a	NR	Identification of the Holder
b	R	Address
c	R	Country
g	R	Control number
u	R	Uniform Resource Identifier (URI)

336	R	TYPE OF ELECTRONIC RESOURCE NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9a	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note

337	R	SYSTEM REQUIREMENTS NOTE (ELECTRONIC RESOURCES)
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9au	Valid subfields
9	NR	Local Subfield
a	NR	Text of Note
u	R	Uniform Resource Identifier (URI)

338	NR	FUNDING INFORMATION NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9abcdefg	Valid subfields
9	NR	Local Subfield
a	NR	Text of Unstructured Note
b	R	Funding Organization
c	R	Program
d	NR	Project Number
e	R	Jurisdiction
f	NR	Project Name
g	NR	Project Acronym

345	NR	ACQUISITION INFORMATION NOTE
ind1	blank	Undefined
ind2	blank	Undefined
subfield	9ad	Valid subfields
9	NR	Local Subfield
a	R	Source for Acquisition/Subscription Address
d	R	Stock Number

371	NR	NOTES ON INFORMATION SERVICE POLICY
ind1	01	 Type of Note
ind2	blank	Undefined
